date_found,title,company,location,source,url,score,matched_keywords,warning_keywords,short_reason,hard_filter_status,hard_filter_reason,hard_filter_category,minimum_score_to_export
2026-06-16,Junior Performance Marketing Manager,Cyrus Digital GmbH,Munich,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/cyrus-digital-gmbh/junior-performance-marketing-manager-munich-60213,19,"germany, junior, marketing, munich",manager,target location; junior/internship fit; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Junior Online Marketing Manager - Vollzeit (m/w/d),AdKochMarketing GmbH,Hamburg,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/adkochmarketing-gmbh/junior-online-marketing-manager-vollzeit-hamburg-186130,19,"germany, hamburg, junior, marketing",manager,target location; junior/internship fit; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Pflichtpraktikum Online Marketing Manager (m/w/d),eFLY Marketplace Services GmbH,Stuttgart,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/efly-marketplace-services-gmbh/pflichtpraktikum-online-marketing-manager-stuttgart-382417,19,"germany, marketing, praktikum",manager,target location; junior/internship fit; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Junior Online Marketing Manager,Cyrus Digital GmbH,Munich,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/cyrus-digital-gmbh/junior-online-marketing-manager-munich-311721,19,"germany, junior, marketing, munich",manager,target location; junior/internship fit; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Showroom Project Coordinator - Temporary,,Amsterdam,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/other-positions/showroom-project-coordinator-temporary/hiCcXFjMxSDZvnzixA7Ffc,18,"amsterdam, netherlands",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Order Management Representative | German,,Hoofddorp,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/other-positions/order-management-representative-german/iw4tdsAh5BsSj22cxaWEfw,18,netherlands,,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Chargebacks Expert,,Amsterdam Temporary,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/customer-service-positions/chargebacks-expert/ugZZcW3RjwET18M5QbVtSm,18,"amsterdam, netherlands",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Executive Chef - Luxury Hotel Horeca / Tourism Amsterdam Permanent,,,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/horeca-tourism-positions/executive-chef-luxury-hotel/3twS6TdoCoQgzbTAG9ipPd,18,"amsterdam, netherlands",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Functional Application Specialist - Oracle Financials & APRO,,Amsterdam Permanent,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/it-technology-positions/functional-application-specialist-oracle-financials-apro/mQk5PFMmevMvSwJ33Ke6Nx,18,"amsterdam, netherlands",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Customer Support Specialist | German | Amsterdam,,Amsterdam,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/customer-service-positions/customer-support-specialist-german-amsterdam/8ZEMnoCk3WGXj8VNkjm5Y1,18,"amsterdam, netherlands",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Customer Support Specialist | Dutch | Amsterdam,,Amsterdam,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/customer-service-positions/customer-support-specialist-dutch-amsterdam/ho1zH4q1qi7kJyB2rQtXsG,18,"amsterdam, netherlands",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Export Logistics | French,,Ede,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/supply-chain-logistics-positions/export-logistics-french/6LgU9dniovjP1YdQjddith,18,netherlands,,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,People Project HR / Recruitment The Hague,,,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/hr-recruitment-positions/people-project/dXmfXxoi7eat4EogP7bQmn,18,netherlands,,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Executive Sous Chef - Luxury Hotel Horeca / Tourism Amsterdam Permanent,,,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/horeca-tourism-positions/executive-sous-chef-luxury-hotel/g7tQY4JuruQ3hytFgn4S2q,18,"amsterdam, netherlands",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Interim Organisation Design & Transformation Consultant (ZZP) HR / Recruitment Amersfoort,,,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/hr-recruitment-positions/interim-organisation-design-transformation-consultant-zzp/57h4GmqmaoU8YTvi2rxRGW,18,netherlands,,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Project Manager Product Implementation 80 – 100% (f/m/d),Hitachi Energy AG,"Zurich, Zurich, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/a35ff538-2408-4ffc-80b0-84ea26b929ec,8,"marketing, product, switzerland, zurich",manager,target location; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Marketing Operations Manager (m/w/d) | 100 % Remote,Schulz Digital GmbH,Cologne,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/schulz-digital-gmbh/marketing-operations-manager-100-remote-cologne-332231,8,"germany, marketing, operations, remote",manager,target location; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Global Medical Director Cardiometabolic,Abbott AG,Switzerland &gt; Allschwil : H-127,jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/9e624f50-f1d8-4017-b805-17a8f78d7acd,4,"marketing, switzerland",director,target location; seniority warning,exclude,"matched exclusion keyword: director, director","warning_keywords, negative_keywords.seniority",37
2026-06-16,HSE Manager 80 – 100% (f/m/d),Hitachi Energy AG,"Zurich, Zurich, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/8352f27b-7bf8-4b22-b533-75cc623c411f,4,"marketing, switzerland, zurich",manager,target location; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Finance and Administration Manager,Fairmont Grand Hôtel Geneva,"Hotel Rotary Geneva - MGallery, Geneva, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/0996602f-337e-48a0-a447-50bc3dbec7b2,4,"geneva, marketing, switzerland",manager,target location; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,R&D Team Manager – Next Generation Grids Transformers 80 - 100% (f/m/d),Hitachi Energy AG,"Satigny, Geneva, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/5d31e1bb-71de-4d16-951e-a91f8a523888,4,"geneva, marketing, switzerland",manager,target location; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Head of Product Management & Procurement Management / Consulting Ter Apel,,,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/management-consulting-positions/head-product-management-procurement/n9kemJRtJq6Mdf951Kmxqq,4,"netherlands, product",head of,target location; seniority warning,exclude,"matched exclusion keyword: head of, head of","warning_keywords, negative_keywords.seniority",37
2026-06-16,Performance Marketing Manager,Lecram Marketing GmbH,Müllheim,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/lecram-marketing-gmbh/performance-marketing-manager-mullheim-46821,4,"germany, marketing",manager,target location; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Online Marketing Manager (m/w/d),eFLY Marketplace Services GmbH,Stuttgart,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/efly-marketplace-services-gmbh/online-marketing-manager-stuttgart-119044,4,"germany, marketing",manager,target location; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Performance Marketing Manager - Vollzeit (m/w/d),AdKochMarketing GmbH,Hamburg,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/adkochmarketing-gmbh/performance-marketing-manager-vollzeit-hamburg-184680,4,"germany, hamburg, marketing",manager,target location; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
